operation_id,visit_id,successor_operation_id,tow
V_M00143_M00210_ARR,V_M00143_M00210,V_M00143_M00210_PARK,1
V_M00143_M00210_PARK,V_M00143_M00210,V_M00143_M00210_DEP,1
V_M00521_M00565_ARR,V_M00521_M00565,V_M00521_M00565_PARK,1
V_M00521_M00565_PARK,V_M00521_M00565,V_M00521_M00565_DEP,1
V_M00648_M00712_ARR,V_M00648_M00712,V_M00648_M00712_PARK,1
V_M00648_M00712_PARK,V_M00648_M00712,V_M00648_M00712_DEP,1
V_M00700_M00768_ARR,V_M00700_M00768,V_M00700_M00768_PARK,1
V_M00700_M00768_PARK,V_M00700_M00768,V_M00700_M00768_DEP,1
V_M00766_M00837_ARR,V_M00766_M00837,V_M00766_M00837_PARK,1
V_M00766_M00837_PARK,V_M00766_M00837,V_M00766_M00837_DEP,1
V_M00795_M00850_ARR,V_M00795_M00850,V_M00795_M00850_PARK,1
V_M00795_M00850_PARK,V_M00795_M00850,V_M00795_M00850_DEP,1
V_M01023_M01092_ARR,V_M01023_M01092,V_M01023_M01092_PARK,1
V_M01023_M01092_PARK,V_M01023_M01092,V_M01023_M01092_DEP,1
V_M01349_M01409_ARR,V_M01349_M01409,V_M01349_M01409_PARK,1
V_M01349_M01409_PARK,V_M01349_M01409,V_M01349_M01409_DEP,1
V_M01577_M01649_ARR,V_M01577_M01649,V_M01577_M01649_PARK,1
V_M01577_M01649_PARK,V_M01577_M01649,V_M01577_M01649_DEP,1
V_M01634_M01700_ARR,V_M01634_M01700,V_M01634_M01700_PARK,1
V_M01634_M01700_PARK,V_M01634_M01700,V_M01634_M01700_DEP,1
V_M01668_M01733_ARR,V_M01668_M01733,V_M01668_M01733_PARK,1
V_M01668_M01733_PARK,V_M01668_M01733,V_M01668_M01733_DEP,1
V_M01900_M01971_ARR,V_M01900_M01971,V_M01900_M01971_PARK,1
V_M01900_M01971_PARK,V_M01900_M01971,V_M01900_M01971_DEP,1
V_M01990_M02049_ARR,V_M01990_M02049,V_M01990_M02049_PARK,1
V_M01990_M02049_PARK,V_M01990_M02049,V_M01990_M02049_DEP,1
V_M02308_M02378_ARR,V_M02308_M02378,V_M02308_M02378_PARK,1
V_M02308_M02378_PARK,V_M02308_M02378,V_M02308_M02378_DEP,1
V_M02685_M02730_ARR,V_M02685_M02730,V_M02685_M02730_PARK,1
V_M02685_M02730_PARK,V_M02685_M02730,V_M02685_M02730_DEP,1
V_M02812_M02877_ARR,V_M02812_M02877,V_M02812_M02877_PARK,1
V_M02812_M02877_PARK,V_M02812_M02877,V_M02812_M02877_DEP,1
V_M02866_M02934_ARR,V_M02866_M02934,V_M02866_M02934_PARK,1
V_M02866_M02934_PARK,V_M02866_M02934,V_M02866_M02934_DEP,1
V_M02932_M03003_ARR,V_M02932_M03003,V_M02932_M03003_PARK,1
V_M02932_M03003_PARK,V_M02932_M03003,V_M02932_M03003_DEP,1
V_M02961_M03016_ARR,V_M02961_M03016,V_M02961_M03016_PARK,1
V_M02961_M03016_PARK,V_M02961_M03016,V_M02961_M03016_DEP,1
V_M03192_M03257_ARR,V_M03192_M03257,V_M03192_M03257_PARK,1
V_M03192_M03257_PARK,V_M03192_M03257,V_M03192_M03257_DEP,1
V_M03521_M03579_ARR,V_M03521_M03579,V_M03521_M03579_PARK,1
V_M03521_M03579_PARK,V_M03521_M03579,V_M03521_M03579_DEP,1
V_M03543_M03591_ARR,V_M03543_M03591,V_M03543_M03591_PARK,1
V_M03543_M03591_PARK,V_M03543_M03591,V_M03543_M03591_DEP,1
V_M03744_M03821_ARR,V_M03744_M03821,V_M03744_M03821_PARK,1
V_M03744_M03821_PARK,V_M03744_M03821,V_M03744_M03821_DEP,1
V_M03804_M03868_ARR,V_M03804_M03868,V_M03804_M03868_PARK,1
V_M03804_M03868_PARK,V_M03804_M03868,V_M03804_M03868_DEP,1
V_M03837_M03901_ARR,V_M03837_M03901,V_M03837_M03901_PARK,1
V_M03837_M03901_PARK,V_M03837_M03901,V_M03837_M03901_DEP,1
V_M04063_M04135_ARR,V_M04063_M04135,V_M04063_M04135_PARK,1
V_M04063_M04135_PARK,V_M04063_M04135,V_M04063_M04135_DEP,1
V_M04156_M04216_ARR,V_M04156_M04216,V_M04156_M04216_PARK,1
V_M04156_M04216_PARK,V_M04156_M04216,V_M04156_M04216_DEP,1
V_M04473_M04539_ARR,V_M04473_M04539,V_M04473_M04539_PARK,1
V_M04473_M04539_PARK,V_M04473_M04539,V_M04473_M04539_DEP,1
V_M04966_M05030_ARR,V_M04966_M05030,V_M04966_M05030_PARK,1
V_M04966_M05030_PARK,V_M04966_M05030,V_M04966_M05030_DEP,1
V_M05017_M05086_ARR,V_M05017_M05086,V_M05017_M05086_PARK,1
V_M05017_M05086_PARK,V_M05017_M05086,V_M05017_M05086_DEP,1
V_M05115_M05166_ARR,V_M05115_M05166,V_M05115_M05166_PARK,1
V_M05115_M05166_PARK,V_M05115_M05166,V_M05115_M05166_DEP,1
V_M05307_M05411_ARR,V_M05307_M05411,V_M05307_M05411_PARK,1
V_M05307_M05411_PARK,V_M05307_M05411,V_M05307_M05411_DEP,1
V_M05344_M05422_ARR,V_M05344_M05422,V_M05344_M05422_PARK,1
V_M05344_M05422_PARK,V_M05344_M05422,V_M05344_M05422_DEP,1
V_M05670_M05727_ARR,V_M05670_M05727,V_M05670_M05727_PARK,1
V_M05670_M05727_PARK,V_M05670_M05727,V_M05670_M05727_DEP,1
V_M05892_M05969_ARR,V_M05892_M05969,V_M05892_M05969_PARK,1
V_M05892_M05969_PARK,V_M05892_M05969,V_M05892_M05969_DEP,1
V_M05952_M06032_ARR,V_M05952_M06032,V_M05952_M06032_PARK,1
V_M05952_M06032_PARK,V_M05952_M06032,V_M05952_M06032_DEP,1
V_M05985_M06047_ARR,V_M05985_M06047,V_M05985_M06047_PARK,1
V_M05985_M06047_PARK,V_M05985_M06047,V_M05985_M06047_DEP,1
V_M06214_M06284_ARR,V_M06214_M06284,V_M06214_M06284_PARK,1
V_M06214_M06284_PARK,V_M06214_M06284,V_M06214_M06284_DEP,1
V_M06303_M06370_ARR,V_M06303_M06370,V_M06303_M06370_PARK,1
V_M06303_M06370_PARK,V_M06303_M06370,V_M06303_M06370_DEP,1
V_M06618_M06685_ARR,V_M06618_M06685,V_M06618_M06685_PARK,1
V_M06618_M06685_PARK,V_M06618_M06685,V_M06618_M06685_DEP,1
V_M06985_M07029_ARR,V_M06985_M07029,V_M06985_M07029_PARK,1
V_M06985_M07029_PARK,V_M06985_M07029,V_M06985_M07029_DEP,1
V_M07006_M07054_ARR,V_M07006_M07054,V_M07006_M07054_PARK,1
V_M07006_M07054_PARK,V_M07006_M07054,V_M07006_M07054_DEP,1
V_M07065_M07109_ARR,V_M07065_M07109,V_M07065_M07109_PARK,1
V_M07065_M07109_PARK,V_M07065_M07109,V_M07065_M07109_DEP,1
V_M07108_M07175_ARR,V_M07108_M07175,V_M07108_M07175_PARK,1
V_M07108_M07175_PARK,V_M07108_M07175,V_M07108_M07175_DEP,1
V_M07163_M07226_ARR,V_M07163_M07226,V_M07163_M07226_PARK,1
V_M07163_M07226_PARK,V_M07163_M07226,V_M07163_M07226_DEP,1
V_M07197_M07234_ARR,V_M07197_M07234,V_M07197_M07234_PARK,1
V_M07197_M07234_PARK,V_M07197_M07234,V_M07197_M07234_DEP,1
V_M07255_M07311_ARR,V_M07255_M07311,V_M07255_M07311_PARK,1
V_M07255_M07311_PARK,V_M07255_M07311,V_M07255_M07311_DEP,1
V_M07342_M07361_ARR,V_M07342_M07361,V_M07342_M07361_PARK,1
V_M07342_M07361_PARK,V_M07342_M07361,V_M07342_M07361_DEP,1
V_M07488_M07552_ARR,V_M07488_M07552,V_M07488_M07552_PARK,1
V_M07488_M07552_PARK,V_M07488_M07552,V_M07488_M07552_DEP,1
V_M07668_M07686_ARR,V_M07668_M07686,V_M07668_M07686_PARK,1
V_M07668_M07686_PARK,V_M07668_M07686,V_M07668_M07686_DEP,1
V_M07919_M07983_ARR,V_M07919_M07983,V_M07919_M07983_PARK,1
V_M07919_M07983_PARK,V_M07919_M07983,V_M07919_M07983_DEP,1
V_M08051_M08121_ARR,V_M08051_M08121,V_M08051_M08121_PARK,1
V_M08051_M08121_PARK,V_M08051_M08121,V_M08051_M08121_DEP,1
V_M08149_M08202_ARR,V_M08149_M08202,V_M08149_M08202_PARK,1
V_M08149_M08202_PARK,V_M08149_M08202,V_M08149_M08202_DEP,1
V_M08242_M08298_ARR,V_M08242_M08298,V_M08242_M08298_PARK,1
V_M08248_M08308_ARR,V_M08248_M08308,V_M08248_M08308_PARK,1
V_M08242_M08298_PARK,V_M08242_M08298,V_M08242_M08298_DEP,1
V_M08248_M08308_PARK,V_M08248_M08308,V_M08248_M08308_DEP,1
V_M08319_M08337_ARR,V_M08319_M08337,V_M08319_M08337_PARK,1
V_M08319_M08337_PARK,V_M08319_M08337,V_M08319_M08337_DEP,1
V_M08376_M08447_ARR,V_M08376_M08447,V_M08376_M08447_PARK,1
V_M08376_M08447_PARK,V_M08376_M08447,V_M08376_M08447_DEP,1
V_M08476_M08525_ARR,V_M08476_M08525,V_M08476_M08525_PARK,1
V_M08476_M08525_PARK,V_M08476_M08525,V_M08476_M08525_DEP,1
V_M08577_M08635_ARR,V_M08577_M08635,V_M08577_M08635_PARK,1
V_M08577_M08635_PARK,V_M08577_M08635,V_M08577_M08635_DEP,1
V_M08646_M08671_ARR,V_M08646_M08671,V_M08646_M08671_PARK,1
V_M08646_M08671_PARK,V_M08646_M08671,V_M08646_M08671_DEP,1
V_M08711_M08775_ARR,V_M08711_M08775,V_M08711_M08775_PARK,1
V_M08711_M08775_PARK,V_M08711_M08775,V_M08711_M08775_DEP,1
V_M08797_M08838_ARR,V_M08797_M08838,V_M08797_M08838_PARK,1
V_M08805_M08846_ARR,V_M08805_M08846,V_M08805_M08846_PARK,1
V_M08806_M08850_ARR,V_M08806_M08850,V_M08806_M08850_PARK,1
V_M08797_M08838_PARK,V_M08797_M08838,V_M08797_M08838_DEP,1
V_M08805_M08846_PARK,V_M08805_M08846,V_M08805_M08846_DEP,1
V_M08806_M08850_PARK,V_M08806_M08850,V_M08806_M08850_DEP,1
V_M08819_M08852_ARR,V_M08819_M08852,V_M08819_M08852_PARK,1
V_M08822_M08907_ARR,V_M08822_M08907,V_M08822_M08907_PARK,1
V_M08825_M08867_ARR,V_M08825_M08867,V_M08825_M08867_PARK,1
V_M08819_M08852_PARK,V_M08819_M08852,V_M08819_M08852_DEP,1
V_M08826_M08881_ARR,V_M08826_M08881,V_M08826_M08881_PARK,1
V_M08827_M08885_ARR,V_M08827_M08885,V_M08827_M08885_PARK,1
V_M08830_M08888_ARR,V_M08830_M08888,V_M08830_M08888_PARK,1
V_M08831_M08886_ARR,V_M08831_M08886,V_M08831_M08886_PARK,1
V_M08822_M08907_PARK,V_M08822_M08907,V_M08822_M08907_DEP,1
V_M08833_M08893_ARR,V_M08833_M08893,V_M08833_M08893_PARK,1
V_M08825_M08867_PARK,V_M08825_M08867,V_M08825_M08867_DEP,1
V_M08827_M08885_PARK,V_M08827_M08885,V_M08827_M08885_DEP,1
V_M08826_M08881_PARK,V_M08826_M08881,V_M08826_M08881_DEP,1
V_M08830_M08888_PARK,V_M08830_M08888,V_M08830_M08888_DEP,1
V_M08836_M08879_ARR,V_M08836_M08879,V_M08836_M08879_PARK,1
V_M08831_M08886_PARK,V_M08831_M08886,V_M08831_M08886_DEP,1
V_M08833_M08893_PARK,V_M08833_M08893,V_M08833_M08893_DEP,1
V_M08844_M08899_ARR,V_M08844_M08899,V_M08844_M08899_PARK,1
V_M08843_M08895_ARR,V_M08843_M08895,V_M08843_M08895_PARK,1
V_M08836_M08879_PARK,V_M08836_M08879,V_M08836_M08879_DEP,1
V_M08849_M08897_ARR,V_M08849_M08897,V_M08849_M08897_PARK,1
V_M08844_M08899_PARK,V_M08844_M08899,V_M08844_M08899_DEP,1
V_M08843_M08895_PARK,V_M08843_M08895,V_M08843_M08895_DEP,1
V_M08849_M08897_PARK,V_M08849_M08897,V_M08849_M08897_DEP,1
V_M08857_M08908_ARR,V_M08857_M08908,V_M08857_M08908_PARK,1
V_M08864_M08901_ARR,V_M08864_M08901,V_M08864_M08901_PARK,1
V_M08857_M08908_PARK,V_M08857_M08908,V_M08857_M08908_DEP,1
V_M08864_M08901_PARK,V_M08864_M08901,V_M08864_M08901_DEP,1
V_M08914_M08927_ARR,V_M08914_M08927,V_M08914_M08927_PARK,1
V_M08914_M08927_PARK,V_M08914_M08927,V_M08914_M08927_DEP,1
V_M08977_M09013_ARR,V_M08977_M09013,V_M08977_M09013_PARK,1
V_M08977_M09013_PARK,V_M08977_M09013,V_M08977_M09013_DEP,1
V_M09047_M09126_ARR,V_M09047_M09126,V_M09047_M09126_PARK,1
V_M09052_M09128_ARR,V_M09052_M09128,V_M09052_M09128_PARK,1
V_M09047_M09126_PARK,V_M09047_M09126,V_M09047_M09126_DEP,1
V_M09057_M09094_ARR,V_M09057_M09094,V_M09057_M09094_PARK,1
V_M09061_M09110_ARR,V_M09061_M09110,V_M09061_M09110_PARK,1
V_M09060_M09103_ARR,V_M09060_M09103,V_M09060_M09103_PARK,1
V_M09052_M09128_PARK,V_M09052_M09128,V_M09052_M09128_DEP,1
V_M09063_M09114_ARR,V_M09063_M09114,V_M09063_M09114_PARK,1
V_M09066_M09125_ARR,V_M09066_M09125,V_M09066_M09125_PARK,1
V_M09057_M09094_PARK,V_M09057_M09094,V_M09057_M09094_DEP,1
V_M09068_M09105_ARR,V_M09068_M09105,V_M09068_M09105_PARK,1
V_M09060_M09103_PARK,V_M09060_M09103,V_M09060_M09103_DEP,1
V_M09061_M09110_PARK,V_M09061_M09110,V_M09061_M09110_DEP,1
V_M09063_M09114_PARK,V_M09063_M09114,V_M09063_M09114_DEP,1
V_M09066_M09125_PARK,V_M09066_M09125,V_M09066_M09125_DEP,1
V_M09068_M09105_PARK,V_M09068_M09105,V_M09068_M09105_DEP,1
V_M09078_M09107_ARR,V_M09078_M09107,V_M09078_M09107_PARK,1
V_M09078_M09107_PARK,V_M09078_M09107,V_M09078_M09107_DEP,1
V_M09087_M09121_ARR,V_M09087_M09121,V_M09087_M09121_PARK,1
V_M09093_M09134_ARR,V_M09093_M09134,V_M09093_M09134_PARK,1
V_M09087_M09121_PARK,V_M09087_M09121,V_M09087_M09121_DEP,1
V_M09099_M09133_ARR,V_M09099_M09133,V_M09099_M09133_PARK,1
V_M09093_M09134_PARK,V_M09093_M09134,V_M09093_M09134_DEP,1
V_M09099_M09133_PARK,V_M09099_M09133,V_M09099_M09133_DEP,1
V_M09184_M09250_ARR,V_M09184_M09250,V_M09184_M09250_PARK,1
V_M09184_M09250_PARK,V_M09184_M09250,V_M09184_M09250_DEP,1
V_M09433_M09448_ARR,V_M09433_M09448,V_M09433_M09448_PARK,1
V_M09435_M09461_ARR,V_M09435_M09461,V_M09435_M09461_PARK,1
V_M09433_M09448_PARK,V_M09433_M09448,V_M09433_M09448_DEP,1
V_M09435_M09461_PARK,V_M09435_M09461,V_M09435_M09461_DEP,1
V_M09599_M09653_ARR,V_M09599_M09653,V_M09599_M09653_PARK,1
V_M09599_M09653_PARK,V_M09599_M09653,V_M09599_M09653_DEP,1
V_M09678_M09738_ARR,V_M09678_M09738,V_M09678_M09738_PARK,1
V_M09678_M09738_PARK,V_M09678_M09738,V_M09678_M09738_DEP,1
V_M09696_M09755_ARR,V_M09696_M09755,V_M09696_M09755_PARK,1
V_M09697_M09757_ARR,V_M09697_M09757,V_M09697_M09757_PARK,1
V_M09705_M09766_ARR,V_M09705_M09766,V_M09705_M09766_PARK,1
V_M09697_M09757_PARK,V_M09697_M09757,V_M09697_M09757_DEP,1
V_M09696_M09755_PARK,V_M09696_M09755,V_M09696_M09755_DEP,1
V_M09705_M09766_PARK,V_M09705_M09766,V_M09705_M09766_DEP,1
